data_inicio,nome,jornada,id, nacao
2023-06-01,Tournament of Legends,1,123
2023-06-02,Classic Chess Clash,1,456
2023-06-03,Grand Championship Showdown,1,789
2023-06-04,Elite Chess Battle,1,234
2023-06-05,Masters' Chess Challenge,1,567
2023-06-06,Supreme Chess Tournament,1,890
2023-06-07,Champions' Chess Rumble,2,345
2023-06-08,Prestige Chess Showdown,2,678
2023-06-09,Ultimate Championship Challenge,2,901
2023-06-10,Grandmasters' Chess Showdown,2,456
2023-06-11,Global Chess Invitational,2,789
2023-06-12,Mastermind Chess Tournament,2,012
2023-06-13,Legends' Chess Showdown,3,345
2023-06-14,Prime Chess Battle,3,678
2023-06-15,Championship Chess Showdown,3,901
2023-06-16,Mind Games Chess Tournament,3,234
2023-06-17,Supreme Masters' Chess Challenge,3,567
2023-06-18,Elite Championship Showdown,3,890
2023-06-19,Chess Battle Royale,4,123
2023-06-20,Pinnacle Chess Tournament,4,456
2023-06-21,Grand Clash of Chess Titans,4,789
2023-06-22,Prime Championship Rumble,4,234
2023-06-23,Global Masters' Chess Challenge,4,567
2023-06-24,Ultimate Chess Showdown,4,890
2023-06-25,Masters' Chess Rumble,5,123
2023-06-26,Supreme Chess Clash,5,456
2023-06-27,Prestige Championship Showdown,5,789
2023-06-28,Grand Battle of Chess Titans,5,234
2023-06-29,Prime Masters' Chess Challenge,5,567
2023-06-30,Elite Chess Showdown,5,890
2023-07-01,Tournament of Champions,6,123
2023-07-02,Classic Chess Showdown,6,456
2023-07-03,Grand Championship Clash,6,789
2023-07-04,Elite Chess Tournament,6,234
2023-07-05,Masters' Chess Rumble,6,567
2023-07-06,Supreme Championship Challenge,6,890
2023-07-07,Champions' Chess Clash,7,123
2023-07-08,Prestige Chess Showdown,7,456
2023-07-09,Ultimate Championship Showdown,7,789
2023-07-10,Grandmasters' Chess Challenge,7,234
2023-07-11,Global Chess Rumble,7,567
2023-07-12,Mastermind Chess Showdown,7,890
2023-07-13,Legends' Chess Tournament,8,123
2023-07-14,Prime Chess Clash,8,456
2023-07-15,Championship Chess Challenge,8,789
2023-07-16,Mind Games Chess Rumble,8,234
2023-07-17,Supreme Masters' Chess Showdown,8,567
2023-07-18,Elite Championship Clash,8,890
